,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
277,MU,MU,1572985673,40,-20.21,57.76,94,2.24,71.6,71.01
278,US,US,1572985390,75,39.65,-105.03,28,4.7,62.01,46.99
279,US,US,1572985676,1,39.41,-74.36,59,9.17,63.0,60.01
280,RU,RU,1572985677,100,43.41,43.9,61,4.47,37.4,37.4
281,AU,AU,1572985678,0,-31.43,152.91,76,6.93,59.0,51.01
282,BW,BW,1572985680,27,-25.27,23.28,23,10.51,81.25,81.25
283,AU,AU,1572985682,56,-19.58,147.4,87,7.47,69.01,69.01
284,VE,VE,1572985618,75,10.47,-66.54,78,5.82,82.4,80.01
285,AU,AU,1572985685,0,-33.18,138.01,54,8.05,57.2,57.2
286,CN,CN,1572985686,0,22.82,115.83,70,4.81,60.44,60.44
287,RU,RU,1572985688,100,63.74,34.31,76,7.94,20.71,20.71
288,FR,FR,1572985689,90,47.88,-3.92,93,11.41,51.8,48.2
289,AU,AU,1572985690,75,-34.85,139.16,82,8.05,59.0,54.0
290,AU,AU,1572985532,0,-34.58,150.85,44,17.22,59.0,50.0
291,GL,GL,1572985408,99,66.94,-53.67,64,0.72,21.81,21.81
292,BR,BR,1572985695,40,-22.4,-43.66,43,5.82,91.4,86.0
293,PH,PH,1572985696,6,6.37,126.17,76,11.43,81.99,81.99
294,BR,BR,1572985697,92,-5.81,-61.3,53,2.15,90.72,90.72
295,ZA,ZA,1572985699,0,-30.97,22.13,29,11.65,72.75,72.75
296,EC,EC,1572985700,20,-0.74,-90.35,57,19.46,80.6,72.0
297,AR,AR,1572985461,20,-43.25,-65.31,22,27.51,77.0,77.0
298,NO,NO,1572985600,90,69.65,18.96,96,11.41,32.0,24.8
299,PK,PK,1572985704,0,28.65,70.66,24,7.45,76.84,76.84
300,CA,CA,1572985505,20,58.81,-122.69,78,2.24,15.8,15.8
301,US,US,1572985707,1,39.62,-77.74,38,8.05,64.0,57.99
302,MU,MU,1572985709,40,-20.34,57.76,94,2.24,71.6,71.01
303,AU,AU,1572985711,0,-32.59,151.78,93,6.93,60.01,53.6
304,BR,BR,1572985712,40,-5.81,-35.21,65,12.75,82.4,80.6
305,US,US,1572985713,90,30.3,-99.24,73,4.7,73.99,62.01
306,RU,RU,1572985715,75,52.86,39.81,93,11.18,50.0,50.0
307,BR,BR,1572985716,99,-12.18,-43.22,75,2.62,75.88,75.88
308,IE,IE,1572985717,20,51.89,-8.4,81,8.05,44.01,42.01
